,person,offer_id,time_received,time_viewed,time_transaction,time_completed,amount_with_offer,label_effective_offer
121,299.0,3,24.0,24.5,",26.5",26.5,17.2,1
122,55.0,9,0.0,0.0,",0.0",0.0,34.56,1
123,55.0,5,14.0,14.25,",14.75",14.75,18.42,1
124,55.0,4,17.0,19.25,",19.75",19.75,21.13,1
125,55.0,1,21.0,21.5,",22.5",22.5,24.3,1
126,309.0,3,0.0,4.0,",6.5",6.5,8.57,1
127,309.0,3,14.0,15.0,",15.25",15.25,11.73,1
128,309.0,4,7.0,7.25,",8.25,10.75,11.25",11.25,31.310000000000002,1
129,309.0,4,21.0,,",22.25,24.25,25.75",25.75,23.310000000000002,1
130,309.0,7,24.0,26.0,24.25,,7.62,1
131,58.0,0,0.0,6.25,",5.25",5.25,37.66,1
132,58.0,4,7.0,7.0,",9.25",9.25,26.08,1
133,58.0,1,17.0,17.5,",20.5",20.5,26.33,1
134,58.0,6,21.0,21.0,",25.25",25.25,38.23,1
135,58.0,8,24.0,24.0,",25.25",25.25,38.23,1
136,61.0,8,0.0,1.0,",1.5",1.5,8.7,1
137,61.0,5,17.0,18.0,",19.0,19.75",19.75,14.0,1
138,61.0,5,21.0,21.0,",21.0",21.0,14.78,1
139,61.0,6,24.0,26.5,",24.0",24.0,10.14,1
140,62.0,9,0.0,0.5,",1.0",1.0,12.4,1
141,62.0,6,7.0,7.25,",7.5,11.25",11.25,22.61,1
142,62.0,0,21.0,22.5,",27.0",27.0,13.3,1
143,9885.0,1,0.0,2.0,",2.0,3.25",,4.279999999999999,0
144,9885.0,4,7.0,,",7.75,8.0,8.75,12.5,16.25",,9.67,0
145,9885.0,3,14.0,,",16.25,19.5,20.5",,7.87,0
146,9885.0,6,21.0,22.0,",22.75,23.25,23.5,24.5,24.75,25.5,28.0,29.5",,23.990000000000002,0
147,9885.0,6,24.0,25.25,",24.5,24.75",24.75,1.8399999999999999,1
148,65.0,8,0.0,0.5,",4.0",4.0,20.75,1
149,65.0,8,7.0,7.75,",9.75",9.75,22.47,1
150,65.0,1,17.0,18.25,",17.25",17.25,17.25,1
151,65.0,9,21.0,23.25,",26.75",26.75,21.91,1
152,65.0,5,24.0,26.25,",26.75",26.75,21.91,1
153,66.0,7,0.0,0.25,1.0,,13.69,1
154,66.0,9,17.0,17.25,",17.5",17.5,12.4,1
155,66.0,3,21.0,22.25,",21.25",21.25,17.08,1
156,67.0,5,0.0,1.25,",2.25",2.25,15.03,1
157,67.0,5,7.0,7.0,",7.0",7.0,21.29,1
158,67.0,6,14.0,14.0,",15.0",15.0,20.38,1
159,67.0,8,17.0,17.0,",17.75",17.75,12.52,1
160,67.0,7,21.0,21.5,22.5,,22.1,1
161,69.0,0,0.0,,",3.75",,7.59,0
162,69.0,9,14.0,15.25,",18.75",18.75,26.4,1
163,69.0,7,21.0,22.25,-1,,0.0,-1
164,71.0,5,0.0,0.0,",1.5",1.5,26.57,1
165,71.0,0,7.0,9.0,",10.25",10.25,10.41,1
166,71.0,9,14.0,,",17.5",17.5,22.03,1
167,71.0,9,21.0,,",24.75",24.75,21.15,1
168,71.0,7,17.0,18.25,17.5,,22.03,1
169,71.0,1,24.0,24.75,",24.75",24.75,21.15,1
170,72.0,1,0.0,4.25,",4.5",4.5,35.91,1
171,72.0,1,24.0,27.0,",27.0",27.0,42.32,1
172,72.0,3,7.0,11.5,",12.75",12.75,17.09,1
173,72.0,0,14.0,14.5,",14.5",14.5,26.65,1
174,72.0,6,21.0,,",21.25",21.25,31.41,1
175,73.0,8,0.0,0.25,",0.75,4.75",,3.68,0
176,73.0,8,7.0,7.0,",7.75",,1.15,0
177,73.0,9,14.0,,",16.5",,4.83,0
178,73.0,4,17.0,,",24.25,24.75,25.5",,8.5,0
179,73.0,6,24.0,24.25,",24.25,24.75,25.5,28.0",28.0,10.52,1
180,74.0,9,0.0,5.0,,,0.0,0
181,74.0,6,7.0,9.5,,,0.0,0
182,74.0,6,14.0,14.0,",22.5",22.5,33.38,1
183,74.0,5,17.0,17.5,",22.5",22.5,33.38,1
184,74.0,2,21.0,24.25,22.5,,33.38,1
185,76.0,8,0.0,0.5,",0.75",0.75,17.04,1
186,76.0,6,7.0,7.75,",8.25",8.25,16.68,1
187,76.0,6,17.0,17.75,",17.0",17.0,28.32,1
188,76.0,4,14.0,15.5,",14.5,17.0",17.0,44.31,1
189,444.0,0,0.0,0.25,",3.0,4.0",,5.3100000000000005,0
190,444.0,6,7.0,8.0,",10.5,14.5,15.0",15.0,18.18,1
191,444.0,7,14.0,15.5,14.5,,7.87,1
192,444.0,5,17.0,17.75,",19.25,22.25",22.25,8.18,1
193,82.0,7,0.0,1.0,1.0,,0.7000000000000001,1
194,82.0,7,14.0,14.25,15.0,,3.69,1
195,82.0,6,17.0,19.75,",20.25,22.5",22.5,10.09,1
196,82.0,4,21.0,,",22.5,25.0,26.5,27.75,28.0,29.0",,15.399999999999999,0
197,82.0,8,24.0,24.25,",25.0,26.5,27.75,28.0,29.0",,8.48,0
198,83.0,8,0.0,0.0,,,0.0,0
199,83.0,8,14.0,14.0,",16.75,18.5",,4.16,0
200,83.0,7,21.0,21.0,-1,,0.0,-1
201,83.0,2,24.0,,24.25,,2.07,1
202,85.0,7,0.0,4.0,-1,,0.0,-1
203,85.0,5,7.0,7.25,",9.75",9.75,24.19,1
204,85.0,8,14.0,16.0,",14.0",14.0,28.85,1
205,85.0,0,17.0,18.5,",17.5",17.5,22.95,1
206,85.0,9,24.0,24.5,,,0.0,0
207,86.0,2,0.0,,-1,,0.0,-1
208,86.0,6,14.0,14.75,",15.25",15.25,41.91,1
209,86.0,6,17.0,17.25,",18.5",18.5,27.02,1
210,86.0,6,21.0,22.5,",23.5",23.5,37.87,1
211,86.0,5,24.0,25.25,",25.5",25.5,29.59,1
212,14173.0,9,0.0,1.5,",2.0,4.25,6.5",6.5,17.72,1
213,14173.0,4,7.0,,",10.0,10.5",,5.8100000000000005,0
214,14173.0,3,17.0,20.0,",20.0,21.5,23.0",,9.219999999999999,0
215,14173.0,3,21.0,,",21.5,23.0,26.75,28.0",,12.78,0
216,14173.0,8,24.0,25.0,",26.75,28.0",,4.98,0
217,88.0,1,0.0,0.25,",3.75",3.75,12.99,1
218,88.0,1,17.0,17.0,",17.5",17.5,12.66,1
219,88.0,1,24.0,24.5,",24.5,27.75",27.75,22.119999999999997,1
220,88.0,7,7.0,7.0,-1,,0.0,-1
221,88.0,2,14.0,14.25,14.5,,16.88,1
222,88.0,2,21.0,21.75,22.75,,14.25,1
223,89.0,6,0.0,0.75,",0.5,1.5,2.0,2.75,3.0,3.5",3.5,13.149999999999999,1
224,89.0,6,24.0,27.25,",26.5,27.0",27.0,10.09,1
225,89.0,0,7.0,7.75,",8.75,9.0,14.0",,12.71,0
226,89.0,0,17.0,18.75,",18.75,19.75,20.5,23.5",,16.060000000000002,0
227,89.0,0,21.0,22.25,",23.5,26.5,27.0,27.5",,20.35,0
228,89.0,1,14.0,,",14.0,18.75",,5.5600000000000005,0
229,90.0,8,0.0,0.75,,,0.0,0
230,90.0,8,17.0,17.25,,,0.0,0
231,90.0,5,21.0,24.5,,,0.0,0
232,91.0,5,0.0,0.75,",4.5",4.5,19.96,1
233,91.0,0,14.0,14.5,",16.25",16.25,15.4,1
234,91.0,7,17.0,18.75,18.5,,28.27,1
235,91.0,7,24.0,24.0,24.5,,15.51,1
236,91.0,3,21.0,22.25,",22.25",22.25,15.21,1
237,43.0,9,0.0,,",7.0",7.0,29.44,1
238,43.0,1,14.0,15.5,",14.75",14.75,19.32,1
239,43.0,8,17.0,17.25,,,0.0,0
240,43.0,5,21.0,22.0,",23.25",23.25,29.03,1
241,43.0,3,24.0,25.75,",24.0",24.0,20.26,1
242,552.0,6,0.0,0.5,",0.75",0.75,18.31,1
243,552.0,6,24.0,24.5,",27.5",27.5,26.43,1
244,552.0,1,7.0,8.75,",11.25",11.25,18.67,1
245,552.0,8,14.0,14.75,",15.75",15.75,29.0,1
246,552.0,7,17.0,17.0,19.75,,31.08,1
247,95.0,6,0.0,5.0,",2.25,4.5,6.0,9.5",9.5,10.23,1
248,95.0,4,14.0,,",19.5,20.0,20.75",,4.74,0
249,95.0,1,17.0,18.0,",19.5,20.0,20.75",,4.74,0
250,95.0,7,21.0,21.0,-1,,0.0,-1
251,95.0,7,24.0,24.25,27.0,,6.82,1
252,97.0,5,0.0,1.25,",1.25",1.25,18.81,1
253,97.0,5,7.0,8.0,",7.5",7.5,32.31,1
254,97.0,8,14.0,14.5,",14.25",14.25,25.31,1
255,97.0,9,17.0,18.25,",21.25",21.25,22.75,1
256,97.0,7,24.0,26.0,-1,,0.0,-1
257,98.0,0,0.0,8.25,",1.5",1.5,15.15,1
258,98.0,0,17.0,,,,0.0,0
259,98.0,7,14.0,,16.75,,38.19,1
260,98.0,4,21.0,,,,0.0,0
261,99.0,4,0.0,,,,0.0,0
262,99.0,4,24.0,,",24.0",,16.82,0
263,99.0,0,14.0,,,,0.0,0
264,99.0,2,17.0,,-1,,0.0,-1
265,99.0,9,21.0,,",24.0",24.0,16.82,1
266,101.0,1,0.0,2.75,,,0.0,0
267,101.0,0,7.0,8.75,",8.75,12.75",,1.96,0
268,101.0,4,14.0,,",19.25,23.5",,3.12,0
269,101.0,6,17.0,17.5,",19.25,23.5",,3.12,0
270,101.0,2,24.0,,27.75,,5.47,1
271,102.0,5,0.0,0.75,",2.5",2.5,9.07,1
272,102.0,5,17.0,17.5,",17.5",17.5,13.21,1
273,102.0,9,7.0,,",10.5",10.5,15.25,1
274,102.0,2,14.0,15.0,16.25,,13.75,1
275,102.0,8,21.0,22.0,",22.0,22.5",22.5,16.0,1
276,102.0,1,24.0,24.0,",24.5,25.0",25.0,17.59,1
277,105.0,6,0.0,4.0,",8.25,8.75",,40.81999999999999,0
278,105.0,6,7.0,7.5,",8.25",8.25,22.49,1
279,105.0,3,14.0,14.5,",14.25",14.25,12.34,1
280,105.0,2,17.0,,17.75,,26.91,1
281,105.0,4,21.0,,",26.75",,19.1,0
282,106.0,0,0.0,1.5,",1.0",1.0,23.98,1
283,106.0,2,14.0,14.5,16.5,,16.1,1
284,106.0,2,17.0,,-1,,0.0,-1
285,106.0,5,21.0,21.0,",21.25",21.25,20.02,1
286,106.0,3,24.0,27.75,",24.5",24.5,12.35,1
287,107.0,0,0.0,0.0,",1.25",1.25,14.36,1
288,107.0,0,7.0,,",7.0",7.0,14.37,1
289,107.0,8,14.0,15.75,",16.25",16.25,14.87,1
290,107.0,1,17.0,17.5,",18.5",18.5,17.48,1
291,107.0,6,21.0,21.25,",22.75",22.75,24.39,1
292,107.0,5,24.0,24.5,",25.25",25.25,21.86,1
293,109.0,6,0.0,0.25,",1.0",1.0,15.02,1
294,109.0,6,14.0,14.25,",15.0",15.0,10.36,1
295,109.0,2,7.0,7.0,7.0,,15.79,1
296,109.0,8,17.0,17.75,",17.0",17.0,11.61,1
297,109.0,4,24.0,24.0,",24.0,24.75",24.75,45.64,1
298,110.0,1,0.0,1.25,",2.25",2.25,12.23,1
299,110.0,1,21.0,23.5,",25.75",25.75,28.57,1
300,110.0,0,7.0,,",9.0",9.0,27.42,1
301,110.0,9,14.0,,",20.0",,29.14,0
302,110.0,9,17.0,19.5,",20.0",20.0,29.14,1
303,111.0,0,0.0,3.25,",1.5",,6.23,0
304,111.0,3,14.0,,",15.0,16.5",16.5,12.34,1
305,111.0,1,17.0,20.5,",20.75",,5.85,0
306,111.0,2,24.0,,-1,,0.0,-1
307,112.0,8,0.0,0.0,",1.0",1.0,23.38,1
308,112.0,7,14.0,14.0,14.0,,17.21,1
309,112.0,9,17.0,17.0,",22.0",22.0,19.11,1
310,112.0,1,24.0,24.0,",24.0",24.0,11.91,1
311,113.0,3,0.0,,",7.0",,3.4,0
312,113.0,3,21.0,,",24.25",24.25,9.2,1
313,113.0,6,7.0,7.0,",7.0,7.25",7.25,11.25,1
314,113.0,1,14.0,,",14.0,16.5",16.5,25.34,1
315,113.0,1,24.0,24.25,",24.25,24.5",24.5,20.759999999999998,1
316,113.0,9,17.0,,",17.25,19.75",19.75,17.37,1
317,114.0,1,0.0,1.0,",1.0",1.0,24.95,1
318,114.0,0,7.0,8.25,",9.25",9.25,20.8,1
319,114.0,6,14.0,14.5,",23.0",23.0,20.72,1
320,114.0,2,17.0,,-1,,0.0,-1
321,114.0,8,21.0,22.75,",23.0",23.0,20.72,1
322,114.0,8,24.0,24.5,",24.75",24.75,22.04,1
323,116.0,5,0.0,0.5,",0.5,1.0",1.0,16.75,1
324,116.0,5,7.0,8.75,",9.5",9.5,9.18,1
325,116.0,0,14.0,,",15.75,17.5,19.5",,21.72,0
326,116.0,9,17.0,,",17.5,19.5",19.5,15.86,1
327,116.0,6,21.0,21.5,",22.0,22.75",22.75,14.36,1
328,116.0,1,24.0,24.75,",24.25",24.25,21.31,1
329,117.0,9,0.0,0.25,",0.75",0.75,33.63,1
330,117.0,5,7.0,7.0,",9.5",9.5,28.44,1
331,117.0,5,14.0,14.0,",19.25",19.25,20.26,1
332,117.0,8,17.0,17.25,",19.25",19.25,20.26,1
333,117.0,0,24.0,25.25,,,0.0,0
334,656.0,3,0.0,,,,0.0,0
335,656.0,1,14.0,14.75,,,0.0,0
336,656.0,0,17.0,,,,0.0,0
337,656.0,7,21.0,,-1,,0.0,0
338,656.0,5,24.0,,,,0.0,0
339,120.0,7,0.0,0.0,-1,,0.0,-1
340,120.0,7,7.0,7.5,7.5,,12.3,1
341,120.0,3,14.0,,",17.0,17.75,19.5",19.5,20.73,1
342,120.0,5,17.0,17.75,",17.0,17.75,19.5",19.5,20.73,1
343,120.0,5,24.0,24.5,",28.75",,3.59,0
344,123.0,8,0.0,0.25,",2.75",2.75,10.81,1
345,123.0,6,14.0,14.25,",15.5,15.75",15.75,11.83,1
346,123.0,0,17.0,17.0,,,0.0,0
347,123.0,3,21.0,21.25,",26.0",26.0,7.45,1
348,123.0,1,24.0,24.75,",26.0",,7.45,0
349,124.0,2,0.0,0.5,0.25,,7.32,1
350,124.0,8,14.0,14.0,",16.0",,3.73,0
351,124.0,8,17.0,17.0,",20.25,21.5",,1.74,0
352,124.0,4,24.0,,",27.25,27.75",,3.63,0
353,125.0,1,0.0,0.25,,,0.0,0
354,125.0,7,7.0,7.5,8.25,,19.9,1
355,125.0,0,14.0,15.0,",15.0",15.0,13.01,1
356,125.0,9,17.0,18.0,",19.75,20.0",20.0,17.439999999999998,1
357,126.0,7,0.0,1.0,0.5,,3.75,1
358,126.0,8,14.0,15.5,",17.25",,3.37,0
359,126.0,8,21.0,21.25,,,0.0,0
360,126.0,0,17.0,17.25,",17.25",,3.37,0
361,126.0,5,24.0,24.25,,,0.0,0
362,127.0,5,0.0,0.75,,,0.0,0
363,127.0,9,7.0,,",10.0",,1.02,0
364,127.0,0,14.0,14.25,",14.25",,9.02,0
365,127.0,3,21.0,,",27.25,27.75",,3.76,0
366,127.0,7,24.0,24.5,-1,,0.0,-1
367,129.0,5,0.0,0.75,",4.5,5.25",,5.359999999999999,0
368,129.0,5,21.0,22.5,",25.0,25.25",25.25,13.219999999999999,1
369,129.0,0,7.0,7.25,",9.25",,4.5600000000000005,0
370,129.0,6,14.0,17.75,",15.5,16.0,17.75,20.0,20.25",,5.11,0
371,129.0,7,24.0,27.5,25.0,,3.05,1
372,739.0,7,0.0,0.25,-1,,0.0,-1
373,739.0,7,21.0,21.25,21.0,,6.66,1
374,739.0,6,7.0,11.25,",13.75",13.75,19.71,1
375,739.0,2,14.0,15.5,-1,,0.0,-1
376,739.0,1,17.0,18.25,",21.0",,6.66,0
377,739.0,1,24.0,26.0,",24.25",24.25,462.4,1
378,132.0,5,0.0,3.25,",3.0",3.0,12.66,1
379,132.0,1,7.0,7.0,,,0.0,0
380,132.0,4,14.0,16.5,,,0.0,0
381,132.0,2,21.0,22.0,-1,,0.0,-1
382,132.0,3,24.0,24.25,",26.0",26.0,12.27,1
383,133.0,0,0.0,0.0,",0.5",0.5,16.6,1
384,133.0,0,7.0,7.25,",7.25",7.25,49.09,1
385,133.0,8,14.0,15.25,",16.0",16.0,22.02,1
386,133.0,2,24.0,,24.25,,15.97,1
387,135.0,2,0.0,0.25,0.25,,24.25,1
388,135.0,2,7.0,,8.75,,6.4,1
389,135.0,2,17.0,,18.25,,8.28,1
390,135.0,0,21.0,21.75,",22.0",22.0,12.79,1
391,135.0,0,24.0,24.75,",24.5",24.5,13.78,1
392,776.0,2,0.0,2.0,2.0,,2.98,1
393,776.0,2,14.0,,-1,,0.0,-1
394,776.0,1,7.0,7.25,",7.25",7.25,15.46,1
395,776.0,1,21.0,21.0,",21.25,21.75,22.5,23.5,24.5,24.75,25.5",,31.049999999999997,0
396,776.0,9,24.0,,",24.5,24.75,25.5",25.5,12.360000000000001,1
397,139.0,4,0.0,,",5.5",5.5,25.73,1
398,139.0,1,7.0,11.25,,,0.0,0
399,139.0,7,21.0,,-1,,0.0,-1
400,139.0,7,24.0,25.75,-1,,0.0,-1
401,141.0,4,0.0,1.0,,,0.0,0
402,141.0,8,7.0,7.0,,,0.0,0
403,141.0,8,17.0,17.0,",21.25",21.25,34.11,1
404,141.0,3,24.0,26.0,",27.75",27.75,19.1,1
405,145.0,9,0.0,6.25,,,0.0,0
406,145.0,9,7.0,,",7.75",7.75,33.77,1
407,145.0,7,14.0,14.25,14.75,,27.59,1
408,145.0,5,17.0,17.75,",17.5",17.5,15.78,1
409,145.0,8,21.0,22.0,",23.75",23.75,29.44,1
410,145.0,6,24.0,25.25,",26.25",26.25,39.71,1
411,146.0,0,0.0,0.75,",0.75",0.75,20.89,1
412,146.0,9,7.0,8.0,",11.5",11.5,15.56,1
413,146.0,2,17.0,19.75,-1,,0.0,-1
414,147.0,8,0.0,1.5,,,0.0,0
415,147.0,3,7.0,,,,0.0,0
416,147.0,4,21.0,,",22.75",,0.87,0
417,147.0,5,24.0,26.0,,,0.0,0
418,4220.0,8,0.0,0.0,,,0.0,0
419,4220.0,4,14.0,15.0,",15.75,18.25",18.25,24.89,1
420,4220.0,4,21.0,,",24.25",24.25,20.52,1
421,4220.0,2,17.0,17.75,18.25,,14.17,1
422,4220.0,1,24.0,24.75,",24.25",24.25,20.52,1
423,151.0,6,0.0,0.25,",0.0",0.0,18.97,1
424,151.0,2,7.0,8.25,8.25,,28.71,1
425,151.0,2,21.0,21.0,-1,,0.0,-1
426,151.0,2,24.0,26.0,26.0,,14.77,1
427,151.0,7,17.0,17.5,18.25,,380.24,1
428,153.0,7,0.0,0.0,0.75,,8.39,1
429,153.0,5,7.0,7.25,,,0.0,0
430,153.0,4,17.0,18.5,",20.75",,8.8,0
431,153.0,6,21.0,21.25,,,0.0,0
432,153.0,0,24.0,24.5,,,0.0,0
433,154.0,1,0.0,0.25,",3.25",3.25,13.3,1
434,154.0,2,14.0,15.25,-1,,0.0,-1
435,154.0,7,21.0,21.25,-1,,0.0,-1
436,155.0,3,0.0,,",0.75",,2.31,0
437,155.0,9,7.0,,",9.25",,0.59,0
438,155.0,4,14.0,,",17.5,18.75",,4.2299999999999995,0
439,155.0,1,17.0,17.25,",17.5,18.75",,4.2299999999999995,0
440,155.0,6,21.0,22.0,",25.0",,1.01,0
441,155.0,8,24.0,25.0,",25.0",,1.01,0
442,156.0,3,0.0,1.0,",4.5,6.0",,9.58,0
443,156.0,4,7.0,,",15.0,16.75",,6.68,0
444,156.0,5,14.0,15.75,",15.0,16.75,20.25",20.25,10.02,1
445,156.0,5,21.0,22.0,",22.0,24.0,24.5",24.5,9.22,1
446,156.0,9,24.0,,",24.0,24.5,26.0,26.25",,4.88,0
447,158.0,2,0.0,1.25,-1,,0.0,-1
448,158.0,5,7.0,7.5,",8.75",8.75,9.45,1
449,158.0,9,14.0,14.5,",17.25",,9.88,0
450,158.0,1,21.0,21.0,,,0.0,0
451,158.0,7,24.0,25.25,-1,,0.0,-1
452,159.0,4,0.0,,,,0.0,0
453,159.0,4,7.0,,",14.0,16.5",,3.97,0
454,159.0,4,17.0,,",24.75",,1.43,0
455,159.0,7,14.0,14.0,14.0,,1.23,1
456,159.0,5,21.0,23.75,",24.75",,1.43,0
457,160.0,0,0.0,0.0,",1.0",1.0,17.21,1
458,160.0,0,14.0,14.25,",18.5",18.5,10.34,1
459,160.0,3,24.0,,",25.25",25.25,34.44,1
460,161.0,1,0.0,0.5,,,0.0,0
