,gender,age,id,became_member_on,income
123,F,64,97,2017-10-20,37000.0
124,M,71,98,2017-01-29,57000.0
125,F,64,99,2017-04-21,66000.0
126,M,83,100,2018-01-27,46000.0
127,M,26,101,2017-12-11,71000.0
129,F,29,102,2018-03-21,58000.0
130,M,43,103,2017-09-15,70000.0
131,F,89,104,2018-01-14,65000.0
132,F,49,105,2018-05-18,79000.0
133,M,79,106,2016-06-27,67000.0
134,F,55,107,2017-10-16,94000.0
135,M,55,108,2017-12-03,66000.0
136,M,45,109,2017-10-07,31000.0
137,M,52,110,2018-01-30,30000.0
138,M,39,111,2016-04-04,55000.0
139,M,77,112,2018-07-02,69000.0
140,M,66,113,2018-07-09,60000.0
141,F,69,114,2017-09-27,87000.0
142,M,74,115,2014-08-20,53000.0
144,F,75,116,2018-07-12,87000.0
145,F,59,117,2015-09-09,85000.0
146,M,47,118,2013-12-30,66000.0
147,M,20,119,2018-05-28,69000.0
148,M,60,120,2017-04-26,108000.0
149,M,65,121,2018-03-15,61000.0
150,M,33,122,2015-04-21,43000.0
151,F,39,123,2017-12-17,67000.0
152,M,49,124,2018-06-02,59000.0
153,M,68,125,2018-02-07,58000.0
154,M,42,126,2017-02-09,80000.0
155,M,72,127,2018-06-01,33000.0
156,F,18,128,2017-05-24,49000.0
157,F,32,129,2018-06-28,42000.0
158,M,67,130,2017-08-28,50000.0
159,M,52,131,2018-07-04,42000.0
160,M,38,132,2017-10-19,64000.0
161,F,60,133,2018-03-16,77000.0
162,F,62,134,2017-12-22,77000.0
163,F,55,135,2018-07-08,51000.0
164,M,22,136,2018-04-28,63000.0
165,M,34,137,2017-12-06,41000.0
166,M,46,138,2014-12-14,60000.0
167,M,85,139,2018-07-26,67000.0
168,F,51,140,2017-03-16,85000.0
170,F,53,141,2016-04-27,85000.0
171,M,51,142,2016-08-10,92000.0
173,M,48,143,2015-06-01,44000.0
174,M,52,144,2018-06-05,72000.0
176,M,62,145,2016-03-05,53000.0
177,M,42,146,2018-03-25,62000.0
178,M,55,147,2017-10-25,65000.0
179,F,27,148,2015-09-15,50000.0
180,M,68,149,2018-05-30,107000.0
181,F,74,150,2017-12-20,83000.0
182,M,77,151,2014-10-11,66000.0
183,M,35,152,2018-01-18,72000.0
184,F,50,153,2017-11-08,69000.0
185,M,45,154,2015-10-27,94000.0
186,M,82,155,2016-12-31,87000.0
187,M,40,156,2013-12-22,57000.0
188,M,66,157,2018-06-17,34000.0
189,M,52,158,2018-04-11,63000.0
190,F,57,159,2016-03-29,89000.0
191,M,68,160,2016-06-29,69000.0
192,M,21,161,2018-03-03,52000.0
193,M,61,162,2017-08-15,44000.0
195,F,58,163,2018-03-17,54000.0
196,F,67,164,2018-06-14,54000.0
197,M,24,165,2017-02-12,61000.0
199,M,26,166,2017-11-17,35000.0
200,F,71,167,2017-12-07,105000.0
201,F,69,168,2017-12-12,64000.0
202,M,81,169,2018-05-03,93000.0
203,M,62,170,2016-04-05,73000.0
204,M,38,171,2017-07-09,74000.0
205,M,61,172,2017-09-26,82000.0
206,F,52,173,2017-08-09,92000.0
207,M,50,174,2017-12-25,70000.0
208,M,54,175,2017-02-16,118000.0
209,F,75,176,2018-05-02,109000.0
210,M,82,177,2018-03-19,73000.0
211,M,64,178,2018-07-20,38000.0
212,F,54,179,2015-10-06,99000.0
214,M,82,180,2018-01-08,72000.0
216,M,90,181,2018-05-09,45000.0
217,F,34,182,2018-04-17,67000.0
218,M,44,183,2018-07-18,53000.0
219,F,79,184,2018-07-11,106000.0
220,F,58,185,2016-12-31,95000.0
222,F,47,186,2016-01-05,74000.0
223,F,60,187,2017-11-17,59000.0
224,M,83,188,2017-08-07,54000.0
225,F,74,189,2018-05-17,103000.0
226,M,89,190,2015-09-17,101000.0
227,M,68,191,2016-03-05,62000.0
228,F,63,192,2017-11-27,110000.0
229,F,40,193,2018-07-06,51000.0
230,F,79,194,2017-12-17,99000.0
231,M,71,195,2018-03-21,30000.0
232,F,76,196,2015-09-06,114000.0
233,M,89,197,2016-05-28,96000.0
234,M,63,198,2017-07-29,36000.0
236,M,41,199,2017-09-22,83000.0
237,F,71,200,2018-04-08,56000.0
238,M,44,201,2017-10-11,36000.0
239,M,25,202,2016-04-06,73000.0
240,M,27,203,2018-03-27,70000.0
241,M,67,204,2018-02-12,106000.0
242,F,77,205,2016-02-19,80000.0
243,F,68,206,2015-12-29,66000.0
244,M,37,207,2016-04-20,64000.0
245,M,55,208,2016-03-23,60000.0
246,M,30,209,2016-09-03,54000.0
247,M,51,210,2015-08-15,54000.0
248,F,47,211,2018-07-12,92000.0
249,M,49,212,2018-02-04,48000.0
250,M,32,213,2015-10-08,38000.0
251,M,30,214,2017-04-18,69000.0
252,M,47,215,2017-02-25,86000.0
254,M,34,216,2017-01-23,34000.0
255,F,78,217,2017-06-04,101000.0
256,F,85,218,2016-03-02,71000.0
257,F,75,219,2013-08-06,69000.0
258,F,76,220,2017-03-11,71000.0
259,F,89,221,2015-07-22,59000.0
260,M,58,222,2018-01-29,70000.0
261,M,23,223,2017-10-30,49000.0
262,M,58,224,2017-09-16,53000.0
264,F,64,225,2015-10-12,95000.0
265,M,72,226,2017-09-09,39000.0
266,F,66,227,2017-08-11,72000.0
267,F,49,228,2017-08-09,68000.0
268,M,43,229,2017-04-13,71000.0
269,M,58,230,2018-07-17,39000.0
270,M,43,231,2017-08-06,76000.0
271,F,56,232,2017-03-29,87000.0
272,F,69,233,2017-10-16,118000.0
273,O,60,234,2018-02-16,94000.0
274,M,81,235,2016-06-01,70000.0
275,M,42,236,2017-04-03,91000.0
276,M,75,237,2015-01-10,71000.0
277,M,62,238,2018-01-27,73000.0
278,F,55,239,2016-05-05,54000.0
279,M,65,240,2017-10-11,39000.0
280,M,52,241,2017-02-27,46000.0
281,F,30,242,2017-10-15,40000.0
282,F,74,243,2015-09-24,75000.0
283,F,100,244,2015-08-28,63000.0
284,F,26,245,2017-03-24,40000.0
285,F,56,246,2016-03-28,53000.0
286,M,50,247,2014-10-15,90000.0
287,M,73,248,2017-10-08,95000.0
288,F,49,249,2017-12-10,74000.0
289,M,37,250,2016-01-09,50000.0
290,M,65,251,2016-02-12,57000.0
291,F,64,252,2016-02-25,81000.0
292,F,48,253,2016-10-14,53000.0
293,M,20,254,2015-08-12,32000.0
295,M,46,255,2018-07-23,40000.0
296,M,24,256,2015-04-27,69000.0
297,M,71,257,2015-08-26,95000.0
298,F,50,258,2018-05-25,78000.0
299,M,37,259,2017-05-15,92000.0
300,F,57,260,2016-05-22,81000.0
302,M,52,261,2014-04-25,85000.0
303,M,41,262,2016-08-24,41000.0
304,F,66,263,2017-06-18,74000.0
305,F,66,264,2015-10-01,87000.0
306,F,68,265,2017-10-25,120000.0
307,M,20,266,2016-03-08,70000.0
308,M,43,267,2017-07-04,42000.0
309,M,73,268,2017-12-12,38000.0
311,F,42,269,2017-05-29,56000.0
312,M,82,270,2016-06-04,110000.0
314,F,70,271,2017-11-09,92000.0
315,F,42,272,2017-10-10,71000.0
316,M,48,273,2015-09-03,62000.0
317,F,53,274,2015-09-10,93000.0
318,M,64,275,2018-03-04,67000.0
319,M,79,276,2018-01-23,90000.0
320,M,51,277,2016-05-11,55000.0
321,F,45,278,2018-01-20,88000.0
322,F,48,279,2016-06-02,105000.0
324,F,54,280,2015-10-24,119000.0
325,M,52,281,2018-07-10,48000.0
326,M,28,282,2013-09-24,68000.0
327,M,69,283,2014-05-02,47000.0
328,M,73,284,2017-06-27,92000.0
330,F,67,285,2017-08-13,71000.0
331,F,76,286,2018-06-13,34000.0
332,F,55,287,2015-11-21,53000.0
333,F,89,288,2018-06-23,83000.0
335,M,57,289,2018-04-29,41000.0
337,F,54,290,2018-02-11,70000.0
339,M,58,291,2017-12-27,73000.0
341,M,49,292,2017-11-23,39000.0
342,F,73,293,2018-05-07,79000.0
343,F,58,294,2017-02-19,76000.0
344,M,51,295,2017-12-14,70000.0
345,M,74,296,2016-04-18,78000.0
346,M,53,297,2015-09-06,95000.0
347,M,61,298,2018-02-27,32000.0
349,M,41,299,2017-10-24,55000.0
350,F,64,300,2017-10-08,95000.0
353,M,42,301,2017-09-08,75000.0
354,M,50,302,2016-04-26,57000.0
355,M,60,303,2017-09-03,56000.0
356,F,57,304,2016-04-08,83000.0
357,F,39,305,2017-04-07,54000.0
359,F,57,306,2016-08-27,67000.0
360,M,57,307,2017-12-16,71000.0
361,M,68,308,2016-03-18,51000.0
362,F,83,309,2015-09-10,114000.0
363,F,35,310,2018-01-02,72000.0
364,F,90,311,2018-01-01,72000.0
365,M,56,312,2018-04-04,72000.0
367,M,84,313,2017-09-07,81000.0
368,M,62,314,2018-03-12,39000.0
369,M,63,315,2017-02-23,58000.0
371,M,67,316,2016-01-05,56000.0
372,F,68,317,2017-11-26,50000.0
373,M,55,318,2017-05-08,73000.0
376,F,24,319,2017-02-07,59000.0
377,M,40,320,2017-08-15,39000.0
378,M,83,321,2018-01-18,61000.0
381,F,63,322,2017-03-16,41000.0
382,F,59,323,2018-01-16,59000.0
383,O,49,324,2017-12-07,42000.0
384,F,61,325,2016-06-12,99000.0
385,M,42,326,2018-06-13,57000.0
386,M,58,327,2018-01-29,36000.0
387,F,48,328,2016-10-21,44000.0
388,M,35,329,2017-08-29,64000.0
389,M,36,330,2018-03-15,31000.0
390,F,41,331,2016-04-14,100000.0
391,F,83,332,2017-04-30,73000.0
392,M,53,333,2017-10-15,87000.0
394,F,53,334,2016-01-15,97000.0
395,F,80,335,2018-01-10,48000.0
396,M,25,336,2015-11-16,66000.0
397,M,63,337,2015-11-04,119000.0
398,F,63,338,2016-06-14,66000.0
399,F,56,339,2018-01-23,109000.0
400,M,43,340,2017-10-04,59000.0
401,F,58,341,2016-03-14,58000.0
402,M,59,342,2017-01-23,59000.0
403,M,49,343,2018-03-18,104000.0
404,F,63,344,2017-09-12,70000.0
405,M,42,345,2015-12-10,94000.0
406,F,52,346,2018-01-17,57000.0
407,F,57,347,2018-04-08,37000.0
408,F,56,348,2017-11-09,59000.0
409,M,80,349,2017-10-15,87000.0
410,M,43,350,2016-02-11,52000.0
411,M,54,351,2017-11-14,70000.0
412,M,28,352,2016-11-11,73000.0
413,F,57,353,2017-10-08,95000.0
414,M,71,354,2015-03-10,67000.0
416,F,64,355,2018-04-18,112000.0
417,M,20,356,2014-05-31,49000.0
420,F,36,357,2017-04-23,58000.0
421,F,45,358,2016-10-04,99000.0
422,M,71,359,2014-12-17,65000.0
423,M,67,360,2018-06-01,89000.0
424,F,72,361,2016-09-22,81000.0
425,M,51,362,2018-05-12,100000.0
427,M,48,363,2017-09-19,68000.0
428,M,53,364,2018-04-10,60000.0
429,M,25,365,2018-02-15,53000.0
430,F,79,366,2018-01-10,85000.0
431,M,19,367,2018-06-24,32000.0
432,F,28,368,2018-04-11,49000.0
433,M,56,369,2014-06-11,76000.0
434,M,44,370,2014-03-19,37000.0
435,M,25,371,2017-12-25,40000.0
436,F,61,372,2018-01-13,78000.0
437,M,34,373,2017-09-22,59000.0
438,F,41,374,2017-12-10,37000.0
439,M,44,375,2016-12-04,51000.0
440,F,51,376,2018-06-29,92000.0
441,M,47,377,2017-11-09,44000.0
442,F,63,378,2018-07-07,70000.0
443,M,62,379,2017-11-26,61000.0
444,M,66,380,2018-07-03,71000.0
445,M,62,381,2017-12-08,70000.0
446,M,83,382,2016-04-10,88000.0
447,M,43,383,2018-06-27,58000.0
448,F,66,384,2016-12-04,94000.0
449,M,70,385,2017-11-18,44000.0
450,F,65,386,2018-01-12,66000.0
451,F,33,387,2016-11-06,54000.0
452,M,63,388,2018-07-26,78000.0
453,M,77,389,2017-08-01,42000.0
454,F,49,390,2017-10-16,57000.0
455,M,53,391,2017-01-23,104000.0
456,F,61,392,2016-02-28,87000.0
457,M,60,393,2015-12-15,38000.0
459,F,44,394,2017-09-18,60000.0
460,M,69,395,2015-06-22,62000.0
461,M,39,396,2018-05-24,71000.0
462,F,38,397,2015-03-26,55000.0
463,F,83,398,2017-12-23,99000.0
464,F,63,399,2016-01-24,94000.0
465,F,41,400,2015-10-15,41000.0
466,M,54,401,2017-11-12,39000.0
468,M,41,402,2018-01-26,55000.0
471,F,56,403,2017-09-22,69000.0
473,M,50,404,2018-01-18,98000.0
474,M,58,405,2015-11-23,55000.0
475,M,39,406,2017-04-25,61000.0
476,F,60,407,2017-09-26,55000.0
477,F,60,408,2016-09-06,74000.0
478,M,24,409,2018-07-03,38000.0
479,M,48,410,2016-11-30,57000.0
480,M,50,411,2018-03-26,110000.0
481,F,41,412,2017-07-30,67000.0
482,M,45,413,2015-05-04,84000.0
483,M,48,414,2016-07-09,93000.0
484,M,59,415,2018-02-01,87000.0
485,M,43,416,2018-04-23,45000.0
486,F,56,417,2017-10-21,67000.0
487,M,54,418,2016-12-06,93000.0
488,F,48,419,2018-07-22,47000.0
492,M,63,420,2017-12-26,49000.0
494,M,47,421,2017-12-02,35000.0
495,M,52,422,2016-08-30,56000.0
496,F,58,423,2016-09-05,78000.0
497,M,78,424,2015-05-09,39000.0
498,M,43,425,2014-07-01,40000.0
499,M,68,426,2017-08-06,61000.0
500,M,18,427,2015-05-03,48000.0
501,F,39,428,2016-09-19,85000.0
502,M,74,429,2018-07-21,99000.0
503,F,53,430,2017-01-19,98000.0
504,F,61,431,2015-09-23,67000.0
505,M,23,432,2018-04-28,54000.0
506,M,46,433,2017-11-09,55000.0
507,M,51,434,2017-08-27,78000.0
508,M,77,435,2018-04-07,86000.0
509,F,79,436,2017-10-26,91000.0
510,M,41,437,2015-05-14,41000.0
511,F,60,438,2016-02-17,78000.0
512,F,54,439,2017-11-23,47000.0
513,O,63,440,2015-09-20,89000.0
514,M,73,441,2018-04-14,76000.0
515,M,47,442,2018-02-11,77000.0
516,M,84,443,2016-04-01,82000.0
518,M,20,444,2017-09-01,56000.0
519,F,24,445,2015-01-18,35000.0
520,F,58,446,2017-03-10,71000.0
521,M,35,447,2017-09-28,40000.0
523,M,57,448,2017-08-06,33000.0
524,M,87,449,2015-04-10,55000.0
525,F,86,450,2015-05-06,84000.0
526,F,57,451,2018-01-17,100000.0
527,M,61,452,2017-10-22,112000.0
528,M,25,453,2017-10-21,53000.0
529,M,38,454,2015-05-13,31000.0
530,M,94,455,2014-11-28,50000.0
531,M,59,456,2015-12-12,61000.0
532,F,49,457,2017-12-31,73000.0
533,F,61,458,2016-06-14,72000.0
535,M,31,459,2017-11-01,64000.0
536,F,75,460,2017-11-02,53000.0
539,M,51,461,2018-04-05,65000.0
540,M,68,462,2017-12-01,74000.0
541,M,86,463,2018-05-24,71000.0
542,F,62,464,2018-07-07,117000.0
543,M,61,465,2018-06-27,64000.0
545,F,63,466,2018-06-27,57000.0
546,F,26,467,2017-12-04,52000.0
547,F,50,468,2015-11-02,77000.0
549,F,45,469,2017-06-25,93000.0
550,F,88,470,2016-02-14,64000.0
551,F,50,471,2017-09-08,92000.0
552,F,65,472,2017-09-09,119000.0
554,M,55,473,2017-07-17,76000.0
555,M,71,474,2016-04-06,95000.0
556,F,34,475,2015-09-25,46000.0
557,M,81,476,2017-08-25,65000.0
559,F,65,477,2013-08-22,98000.0
562,F,63,478,2018-03-26,62000.0
563,M,73,479,2016-05-27,58000.0
564,F,84,480,2018-01-25,77000.0
566,F,55,481,2018-06-13,62000.0
567,M,63,482,2017-09-24,70000.0
568,F,24,483,2018-04-16,51000.0
569,M,36,484,2013-07-30,74000.0
570,M,56,485,2016-06-07,69000.0
571,F,65,486,2017-05-02,119000.0
572,M,75,487,2018-06-23,75000.0
573,M,71,488,2016-07-20,114000.0
574,M,71,489,2017-12-24,118000.0
575,M,61,490,2017-04-25,39000.0
576,O,73,491,2018-03-16,88000.0
577,M,19,492,2018-03-21,73000.0
578,F,64,493,2017-07-24,34000.0
579,F,66,494,2017-10-20,112000.0
580,M,37,495,2018-02-24,59000.0
581,M,22,496,2016-12-20,49000.0
582,F,54,497,2018-07-19,96000.0
583,M,62,498,2018-01-05,73000.0
584,F,50,499,2018-01-06,75000.0
585,F,80,500,2017-07-26,87000.0
586,M,55,501,2015-09-23,112000.0
587,M,40,502,2017-03-03,50000.0
588,M,43,503,2015-12-18,52000.0
589,M,61,504,2017-02-05,53000.0
590,F,32,505,2017-05-31,43000.0
592,F,68,506,2017-09-03,32000.0
593,F,66,507,2017-08-21,104000.0
594,M,36,508,2017-12-26,35000.0
595,M,38,509,2017-10-19,60000.0
596,F,80,510,2015-07-28,54000.0
597,F,82,511,2018-01-23,68000.0
598,M,45,512,2015-10-27,74000.0
599,M,89,513,2017-10-26,63000.0
600,F,45,514,2017-12-07,94000.0
601,M,59,515,2018-04-05,35000.0
602,M,22,516,2018-03-22,44000.0
603,F,67,517,2017-07-14,50000.0
604,F,30,518,2016-12-05,41000.0
606,M,56,519,2018-04-02,88000.0
607,F,53,520,2016-01-14,100000.0
610,M,32,521,2016-10-28,58000.0
611,F,51,522,2016-02-23,73000.0
612,F,38,523,2017-12-25,66000.0
613,F,52,524,2014-01-13,45000.0
615,M,55,525,2016-09-08,68000.0
616,M,81,526,2017-10-09,41000.0
617,M,55,527,2017-11-03,78000.0
618,F,51,528,2014-02-02,67000.0
620,F,71,529,2015-09-04,74000.0
621,M,45,530,2016-03-03,84000.0
624,M,49,531,2015-10-16,71000.0
625,M,62,532,2017-09-20,48000.0
626,F,65,533,2015-10-16,99000.0
628,F,50,534,2018-01-09,63000.0
629,F,20,535,2018-02-03,60000.0
630,F,49,536,2018-04-30,31000.0
631,M,55,537,2017-09-24,83000.0
632,M,58,538,2014-10-24,54000.0
634,F,95,539,2017-09-13,64000.0
635,F,83,540,2018-01-12,99000.0
636,F,56,541,2016-02-14,70000.0
637,M,66,542,2017-05-23,54000.0
638,M,87,543,2017-08-08,74000.0
640,M,55,544,2016-08-26,89000.0
641,F,52,545,2017-08-01,114000.0
642,F,59,546,2016-12-26,83000.0
643,F,59,547,2016-05-15,51000.0
644,F,49,548,2017-11-28,74000.0
645,F,62,549,2014-04-04,46000.0
646,F,56,550,2015-08-26,80000.0
647,F,51,551,2017-04-01,97000.0
648,F,47,552,2014-06-08,62000.0
649,M,38,553,2016-04-13,96000.0
650,M,43,554,2018-07-09,44000.0
651,M,43,555,2016-10-21,72000.0
652,M,49,556,2015-11-06,84000.0
653,F,36,557,2017-09-25,57000.0
654,F,45,558,2016-11-24,58000.0
656,M,53,559,2018-06-09,95000.0
657,M,43,560,2017-08-06,60000.0
659,F,18,561,2017-06-19,67000.0
660,M,40,562,2016-06-02,41000.0
661,F,83,563,2017-03-21,114000.0
662,M,49,564,2018-01-23,65000.0
663,F,51,565,2017-03-23,106000.0
664,M,25,566,2018-03-29,55000.0
665,M,71,567,2018-01-05,55000.0
666,M,58,568,2017-09-17,71000.0
667,M,53,569,2014-07-12,36000.0
668,F,83,570,2017-06-15,93000.0
669,M,46,571,2016-03-15,56000.0
670,F,69,572,2017-02-25,97000.0
671,M,51,573,2017-08-02,73000.0
672,M,61,574,2018-02-24,68000.0
673,F,81,575,2017-08-04,101000.0
674,M,60,576,2018-02-02,41000.0
675,M,48,577,2015-09-10,75000.0
676,F,48,578,2015-09-23,87000.0
677,M,73,579,2014-01-24,63000.0
678,F,41,580,2018-02-11,89000.0
679,F,39,581,2016-04-02,77000.0
680,M,31,582,2017-10-08,56000.0
681,M,38,583,2017-12-15,61000.0
682,F,46,584,2017-09-11,36000.0
683,M,87,585,2014-11-13,72000.0
684,F,53,586,2015-12-14,83000.0
686,F,93,587,2013-10-25,48000.0
687,M,42,588,2015-08-25,41000.0
688,M,54,589,2015-10-26,79000.0
689,M,47,590,2018-07-26,53000.0
690,M,75,591,2017-12-03,109000.0
691,F,79,592,2018-04-10,61000.0
692,F,36,593,2017-10-10,64000.0
693,M,30,594,2017-04-09,43000.0
694,M,34,595,2013-11-16,50000.0
695,F,39,596,2016-01-19,78000.0
696,F,52,597,2016-05-23,87000.0
697,M,43,598,2016-04-16,34000.0
698,M,75,599,2018-06-24,38000.0
699,M,47,600,2017-09-17,40000.0
700,F,60,601,2018-04-20,117000.0
701,M,31,602,2018-01-23,43000.0
702,M,70,603,2018-03-04,35000.0
703,F,49,604,2018-01-09,36000.0
704,M,48,605,2017-08-16,56000.0
705,M,37,606,2017-12-19,36000.0
707,F,67,607,2015-09-29,67000.0
708,M,48,608,2015-07-19,65000.0
709,M,69,609,2015-09-20,38000.0
710,M,66,610,2017-12-19,32000.0
711,M,38,611,2017-09-12,56000.0
712,F,59,612,2017-08-16,90000.0
713,M,43,613,2018-04-10,65000.0
714,M,43,614,2014-01-28,41000.0
715,F,68,615,2017-04-21,108000.0
716,M,60,616,2018-04-24,45000.0
717,M,53,617,2015-09-25,39000.0
718,M,34,618,2018-02-16,50000.0
719,M,77,619,2018-03-22,64000.0
720,F,88,620,2017-05-11,73000.0
722,F,62,621,2018-06-25,88000.0
723,M,63,622,2014-07-31,86000.0
724,M,70,623,2017-11-12,99000.0
725,M,38,624,2018-04-03,33000.0
726,F,44,625,2018-02-17,39000.0
727,F,40,626,2018-03-06,50000.0
728,M,51,627,2018-03-28,99000.0
730,F,72,628,2013-08-14,60000.0
731,M,22,629,2017-09-04,45000.0
733,M,72,630,2017-08-19,49000.0
734,M,70,631,2017-09-03,37000.0
736,M,23,632,2014-07-19,65000.0
737,M,38,633,2018-07-18,75000.0
738,F,71,634,2015-10-17,67000.0
739,M,50,635,2013-09-27,51000.0
740,M,72,636,2014-12-04,35000.0
741,M,43,637,2018-03-27,31000.0
742,M,63,638,2016-05-10,70000.0
743,M,73,639,2018-06-10,46000.0
744,M,53,640,2015-12-27,57000.0
745,F,37,641,2018-05-07,57000.0
747,M,45,642,2014-10-29,44000.0
748,M,59,643,2018-07-02,61000.0
749,M,74,644,2016-09-24,51000.0
750,M,18,645,2016-10-31,36000.0
751,F,94,646,2016-11-30,84000.0
752,M,38,647,2016-02-07,33000.0
753,F,67,648,2016-09-12,50000.0
754,F,46,649,2015-12-29,36000.0
755,M,82,650,2017-12-20,41000.0
756,M,37,651,2018-07-05,36000.0
757,F,65,652,2018-06-04,71000.0
758,F,66,653,2017-08-15,34000.0
759,F,65,654,2016-10-09,57000.0
762,F,54,655,2016-06-13,52000.0
763,M,63,656,2017-12-19,113000.0
765,F,50,657,2018-03-25,110000.0
766,M,64,658,2017-09-21,81000.0
767,M,66,659,2017-10-14,50000.0
768,F,76,660,2016-12-09,62000.0
769,F,56,661,2017-01-04,82000.0
770,M,49,662,2017-05-12,75000.0
771,F,29,663,2015-10-23,53000.0
773,F,51,664,2016-05-17,56000.0
774,M,69,665,2018-06-14,68000.0
775,M,48,666,2013-08-15,52000.0
776,M,25,667,2015-10-27,68000.0
777,M,82,668,2015-10-14,78000.0
778,F,57,669,2016-09-21,70000.0
779,M,50,670,2017-12-24,70000.0
781,F,74,671,2018-07-25,72000.0
784,F,49,672,2018-06-04,59000.0
786,M,80,673,2017-05-03,88000.0
788,F,62,674,2016-06-17,81000.0
789,M,63,675,2018-07-07,50000.0
790,F,54,676,2016-04-24,109000.0
792,M,45,677,2018-05-01,55000.0
793,F,49,678,2017-12-26,110000.0
794,M,61,679,2017-08-02,35000.0
795,M,46,680,2017-12-04,46000.0
796,M,64,681,2014-07-26,59000.0
798,F,69,682,2015-11-20,89000.0
799,M,69,683,2015-03-28,64000.0
800,M,66,684,2017-07-01,70000.0
801,M,60,685,2014-08-10,56000.0
802,F,40,686,2017-11-29,51000.0
803,M,74,687,2015-09-22,64000.0
804,F,52,688,2015-09-30,31000.0
806,F,62,689,2015-08-06,55000.0
807,F,61,690,2015-10-10,118000.0
808,F,22,691,2017-08-12,55000.0
809,M,62,692,2017-03-25,35000.0
810,M,23,693,2017-08-31,63000.0
811,F,90,694,2016-09-11,104000.0
812,F,72,695,2015-11-02,41000.0
813,F,69,696,2016-03-07,93000.0
814,F,71,697,2017-11-21,43000.0
