person,offer_id,time_received,time_viewed,time_transaction,time_completed,amount_with_offer,label_effective_offer
25.0,3,24.0,25.25,,,0.0,0
29.0,3,0.0,,",2.5",,0.67,0
29.0,3,24.0,29.75,,,0.0,0
29.0,6,7.0,12.5,",11.75,12.5",12.5,11.56,1
29.0,7,14.0,14.25,16.75,16.75,5.23,1
29.0,7,21.0,22.75,22.75,22.75,2.32,1
29.0,9,17.0,17.5,",17.0,17.75,18.0",18.0,14.68,1
32.0,0,0.0,4.0,,,0.0,0
32.0,1,7.0,7.25,",8.25",8.25,17.11,1
32.0,1,14.0,14.75,",15.25,17.25",17.25,30.2,1
32.0,5,17.0,17.25,",17.25",17.25,20.63,1
32.0,2,21.0,22.25,25.0,25.0,28.82,1
32.0,4,24.0,24.0,",25.0",25.0,28.82,1
33.0,9,0.0,,",5.5",5.5,12.03,1
33.0,7,14.0,14.5,-1,,0.0,0
33.0,3,17.0,,",19.5",19.5,19.47,1
33.0,8,21.0,22.25,",25.5",25.5,22.05,1
33.0,5,24.0,,",25.5",25.5,22.05,1
34.0,3,0.0,2.0,",0.5",0.5,5.47,1
34.0,3,21.0,,",26.0",,1.62,0
34.0,3,24.0,,",26.0",,1.62,0
34.0,7,7.0,9.5,7.25,7.25,2.25,1
34.0,0,14.0,14.0,",15.5,16.25,18.5,19.0,19.25",,10.219999999999999,0
34.0,8,17.0,17.75,",18.5,19.0,19.25",,5.47,0
35.0,1,0.0,0.0,",0.25",0.25,19.88,1
35.0,2,7.0,7.5,8.0,8.0,8.21,1
35.0,3,14.0,14.0,",14.5",14.5,19.92,1
35.0,3,21.0,21.25,",21.75",21.75,12.75,1
35.0,7,17.0,20.25,-1,,0.0,0
35.0,0,24.0,24.25,",24.5",24.5,18.48,1
38.0,5,0.0,1.75,",2.25,3.0,4.25,4.75",4.75,10.68,1
38.0,7,14.0,14.5,15.5,15.5,5.33,1
38.0,6,17.0,17.5,",18.75,19.75,20.0,20.25",20.25,11.420000000000002,1
40.0,8,0.0,2.75,",1.0,2.75",2.75,9.61,1
40.0,9,7.0,11.0,",13.0",13.0,115.0,1
40.0,9,17.0,,",18.25,18.5,20.75",20.75,13.64,1
40.0,5,14.0,14.25,",15.0,16.5",16.5,9.56,1
41.0,0,0.0,0.0,",0.0,0.25,0.5,3.5,3.75,4.25,5.5,6.0",,25.490000000000002,0
41.0,4,17.0,,",17.5",,3.18,0
42.0,3,0.0,1.25,",2.75",2.75,6.01,1
42.0,5,14.0,14.75,",15.5,19.75",19.75,12.63,1
42.0,1,17.0,18.5,",19.75,20.75",20.75,27.86,1
42.0,1,24.0,24.0,",26.75",,5.6,0
42.0,2,21.0,21.75,21.75,21.75,7.35,1
47.0,3,0.0,,,,0.0,0
47.0,7,7.0,12.0,-1,,0.0,0
47.0,1,14.0,14.0,",14.25",14.25,38.82,1
47.0,2,17.0,19.5,19.5,19.5,26.75,1
47.0,8,21.0,21.75,",21.75",21.75,19.36,1
47.0,6,24.0,24.25,",24.25",24.25,23.32,1
48.0,7,0.0,0.0,0.25,0.25,2.63,1
48.0,8,7.0,9.0,",7.5,9.0",9.0,9.26,1
48.0,1,14.0,14.75,",16.25,16.5,17.5",,11.64,0
48.0,2,21.0,,23.25,23.25,1.63,1
48.0,4,24.0,,,,0.0,0
50.0,3,0.0,0.75,",4.0,4.25,5.0,5.5,6.0",,8.34,0
50.0,9,14.0,,",15.75,18.75,20.0",,5.14,0
50.0,9,24.0,,",24.0,24.75,25.5,26.0",26.0,130.97,1
50.0,0,21.0,21.75,",22.25,24.0,24.75,25.5,26.0",26.0,134.51,1
51.0,1,0.0,0.25,,,0.0,0
51.0,7,14.0,14.0,16.5,16.5,7.93,1
51.0,0,17.0,17.0,",17.75",,7.46,0
51.0,3,24.0,24.5,",24.75",24.75,17.26,1
292.0,6,0.0,0.25,",9.0",9.0,20.16,1
292.0,9,7.0,7.25,",9.0",9.0,20.16,1
292.0,4,17.0,,",21.5",,11.84,0
292.0,1,21.0,21.0,",21.5",21.5,11.84,1
299.0,0,0.0,0.0,",0.0",0.0,18.01,1
299.0,4,21.0,,",26.5",,17.2,0
299.0,3,24.0,24.5,",26.5",26.5,17.2,1
55.0,9,0.0,0.0,",0.0",0.0,34.56,1
55.0,5,14.0,14.25,",14.75",14.75,18.42,1
55.0,4,17.0,19.25,",19.75",19.75,21.13,1
55.0,1,21.0,21.5,",22.5",22.5,24.3,1
309.0,3,0.0,4.0,",6.5",6.5,8.57,1
309.0,3,14.0,15.0,",15.25",15.25,11.73,1
309.0,4,7.0,7.25,",8.25,10.75,11.25",11.25,31.310000000000002,1
309.0,4,21.0,,",22.25,24.25,25.75",25.75,23.310000000000002,1
309.0,7,24.0,26.0,24.25,24.25,7.62,1
58.0,0,0.0,6.25,",5.25",5.25,37.66,1
58.0,4,7.0,7.0,",9.25",9.25,26.08,1
58.0,1,17.0,17.5,",20.5",20.5,26.33,1
58.0,6,21.0,21.0,",25.25",25.25,38.23,1
58.0,8,24.0,24.0,",25.25",25.25,38.23,1
61.0,8,0.0,1.0,",1.5",1.5,8.7,1
61.0,5,17.0,18.0,",19.0,19.75",19.75,14.0,1
61.0,5,21.0,21.0,",21.0",21.0,14.78,1
61.0,6,24.0,26.5,",24.0",24.0,10.14,1
62.0,9,0.0,0.5,",1.0",1.0,12.4,1
62.0,6,7.0,7.25,",7.5,11.25",11.25,22.61,1
62.0,0,21.0,22.5,",27.0",27.0,13.3,1
9885.0,1,0.0,2.0,",2.0,3.25",,4.279999999999999,0
9885.0,4,7.0,,",7.75,8.0,8.75,12.5,16.25",,9.67,0
9885.0,3,14.0,,",16.25,19.5,20.5",,7.87,0
9885.0,6,21.0,22.0,",22.75,23.25,23.5,24.5,24.75,25.5,28.0,29.5",,23.990000000000002,0
9885.0,6,24.0,25.25,",24.5,24.75",24.75,1.8399999999999999,1
65.0,8,0.0,0.5,",4.0",4.0,20.75,1
65.0,8,7.0,7.75,",9.75",9.75,22.47,1
65.0,1,17.0,18.25,",17.25",17.25,17.25,1
65.0,9,21.0,23.25,",26.75",26.75,21.91,1
65.0,5,24.0,26.25,",26.75",26.75,21.91,1
66.0,7,0.0,0.25,1.0,1.0,13.69,1
66.0,9,17.0,17.25,",17.5",17.5,12.4,1
66.0,3,21.0,22.25,",21.25",21.25,17.08,1
67.0,5,0.0,1.25,",2.25",2.25,15.03,1
67.0,5,7.0,7.0,",7.0",7.0,21.29,1
67.0,6,14.0,14.0,",15.0",15.0,20.38,1
67.0,8,17.0,17.0,",17.75",17.75,12.52,1
67.0,7,21.0,21.5,22.5,22.5,22.1,1
69.0,0,0.0,,",3.75",,7.59,0
69.0,9,14.0,15.25,",18.75",18.75,26.4,1
69.0,7,21.0,22.25,-1,,0.0,0
71.0,5,0.0,0.0,",1.5",1.5,26.57,1
71.0,0,7.0,9.0,",10.25",10.25,10.41,1
71.0,9,14.0,,",17.5",17.5,22.03,1
71.0,9,21.0,,",24.75",24.75,21.15,1
71.0,7,17.0,18.25,17.5,17.5,22.03,1
71.0,1,24.0,24.75,",24.75",24.75,21.15,1
72.0,1,0.0,4.25,",4.5",4.5,35.91,1
72.0,1,24.0,27.0,",27.0",27.0,42.32,1
72.0,3,7.0,11.5,",12.75",12.75,17.09,1
72.0,0,14.0,14.5,",14.5",14.5,26.65,1
72.0,6,21.0,,",21.25",21.25,31.41,1
73.0,8,0.0,0.25,",0.75,4.75",,3.68,0
73.0,8,7.0,7.0,",7.75",,1.15,0
73.0,9,14.0,,",16.5",,4.83,0
73.0,4,17.0,,",24.25,24.75,25.5",,8.5,0
73.0,6,24.0,24.25,",24.25,24.75,25.5,28.0",28.0,10.52,1
74.0,9,0.0,5.0,,,0.0,0
74.0,6,7.0,9.5,,,0.0,0
74.0,6,14.0,14.0,",22.5",22.5,33.38,1
74.0,5,17.0,17.5,",22.5",22.5,33.38,1
74.0,2,21.0,24.25,22.5,22.5,33.38,1
76.0,8,0.0,0.5,",0.75",0.75,17.04,1
76.0,6,7.0,7.75,",8.25",8.25,16.68,1
76.0,6,17.0,17.75,",17.0",17.0,28.32,1
76.0,4,14.0,15.5,",14.5,17.0",17.0,44.31,1
444.0,0,0.0,0.25,",3.0,4.0",,5.3100000000000005,0
444.0,6,7.0,8.0,",10.5,14.5,15.0",15.0,18.18,1
444.0,7,14.0,15.5,14.5,14.5,7.87,1
444.0,5,17.0,17.75,",19.25,22.25",22.25,8.18,1
82.0,7,0.0,1.0,1.0,1.0,0.7000000000000001,1
82.0,7,14.0,14.25,15.0,15.0,3.69,1
82.0,6,17.0,19.75,",20.25,22.5",22.5,10.09,1
82.0,4,21.0,,",22.5,25.0,26.5,27.75,28.0,29.0",,15.399999999999999,0
82.0,8,24.0,24.25,",25.0,26.5,27.75,28.0,29.0",,8.48,0
83.0,8,0.0,0.0,,,0.0,0
83.0,8,14.0,14.0,",16.75,18.5",,4.16,0
83.0,7,21.0,21.0,-1,,0.0,0
83.0,2,24.0,,24.25,24.25,2.07,1
85.0,7,0.0,4.0,-1,,0.0,0
85.0,5,7.0,7.25,",9.75",9.75,24.19,1
85.0,8,14.0,16.0,",14.0",14.0,28.85,1
85.0,0,17.0,18.5,",17.5",17.5,22.95,1
85.0,9,24.0,24.5,,,0.0,0
86.0,2,0.0,,-1,,0.0,0
86.0,6,14.0,14.75,",15.25",15.25,41.91,1
86.0,6,17.0,17.25,",18.5",18.5,27.02,1
86.0,6,21.0,22.5,",23.5",23.5,37.87,1
86.0,5,24.0,25.25,",25.5",25.5,29.59,1
14173.0,9,0.0,1.5,",2.0,4.25,6.5",6.5,17.72,1
14173.0,4,7.0,,",10.0,10.5",,5.8100000000000005,0
14173.0,3,17.0,20.0,",20.0,21.5,23.0",,9.219999999999999,0
14173.0,3,21.0,,",21.5,23.0,26.75,28.0",,12.78,0
14173.0,8,24.0,25.0,",26.75,28.0",,4.98,0
88.0,1,0.0,0.25,",3.75",3.75,12.99,1
88.0,1,17.0,17.0,",17.5",17.5,12.66,1
88.0,1,24.0,24.5,",24.5,27.75",27.75,22.119999999999997,1
88.0,7,7.0,7.0,-1,,0.0,0
88.0,2,14.0,14.25,14.5,14.5,16.88,1
88.0,2,21.0,21.75,22.75,22.75,14.25,1
89.0,6,0.0,0.75,",0.5,1.5,2.0,2.75,3.0,3.5",3.5,13.149999999999999,1
89.0,6,24.0,27.25,",26.5,27.0",27.0,10.09,1
89.0,0,7.0,7.75,",8.75,9.0,14.0",,12.71,0
89.0,0,17.0,18.75,",18.75,19.75,20.5,23.5",,16.060000000000002,0
89.0,0,21.0,22.25,",23.5,26.5,27.0,27.5",,20.35,0
89.0,1,14.0,,",14.0,18.75",,5.5600000000000005,0
90.0,8,0.0,0.75,,,0.0,0
90.0,8,17.0,17.25,,,0.0,0
90.0,5,21.0,24.5,,,0.0,0
91.0,5,0.0,0.75,",4.5",4.5,19.96,1
91.0,0,14.0,14.5,",16.25",16.25,15.4,1
91.0,7,17.0,18.75,18.5,18.5,28.27,1
91.0,7,24.0,24.0,24.5,24.5,15.51,1
91.0,3,21.0,22.25,",22.25",22.25,15.21,1
43.0,9,0.0,,",7.0",7.0,29.44,1
43.0,1,14.0,15.5,",14.75",14.75,19.32,1
43.0,8,17.0,17.25,,,0.0,0
43.0,5,21.0,22.0,",23.25",23.25,29.03,1
43.0,3,24.0,25.75,",24.0",24.0,20.26,1
552.0,6,0.0,0.5,",0.75",0.75,18.31,1
552.0,6,24.0,24.5,",27.5",27.5,26.43,1
552.0,1,7.0,8.75,",11.25",11.25,18.67,1
552.0,8,14.0,14.75,",15.75",15.75,29.0,1
552.0,7,17.0,17.0,19.75,19.75,31.08,1
95.0,6,0.0,5.0,",2.25,4.5,6.0,9.5",9.5,10.23,1
95.0,4,14.0,,",19.5,20.0,20.75",,4.74,0
95.0,1,17.0,18.0,",19.5,20.0,20.75",,4.74,0
95.0,7,21.0,21.0,-1,,0.0,0
95.0,7,24.0,24.25,27.0,27.0,6.82,1
97.0,5,0.0,1.25,",1.25",1.25,18.81,1
97.0,5,7.0,8.0,",7.5",7.5,32.31,1
97.0,8,14.0,14.5,",14.25",14.25,25.31,1
97.0,9,17.0,18.25,",21.25",21.25,22.75,1
97.0,7,24.0,26.0,-1,,0.0,0
98.0,0,0.0,8.25,",1.5",1.5,15.15,1
98.0,0,17.0,,,,0.0,0
98.0,7,14.0,,16.75,16.75,38.19,1
98.0,4,21.0,,,,0.0,0
99.0,4,0.0,,,,0.0,0
99.0,4,24.0,,",24.0",,16.82,0
99.0,0,14.0,,,,0.0,0
99.0,2,17.0,,-1,,0.0,0
99.0,9,21.0,,",24.0",24.0,16.82,1
101.0,1,0.0,2.75,,,0.0,0
101.0,0,7.0,8.75,",8.75,12.75",,1.96,0
101.0,4,14.0,,",19.25,23.5",,3.12,0
101.0,6,17.0,17.5,",19.25,23.5",,3.12,0
101.0,2,24.0,,27.75,27.75,5.47,1
102.0,5,0.0,0.75,",2.5",2.5,9.07,1
102.0,5,17.0,17.5,",17.5",17.5,13.21,1
102.0,9,7.0,,",10.5",10.5,15.25,1
102.0,2,14.0,15.0,16.25,16.25,13.75,1
102.0,8,21.0,22.0,",22.0,22.5",22.5,16.0,1
102.0,1,24.0,24.0,",24.5,25.0",25.0,17.59,1
105.0,6,0.0,4.0,",8.25,8.75",,40.81999999999999,0
105.0,6,7.0,7.5,",8.25",8.25,22.49,1
105.0,3,14.0,14.5,",14.25",14.25,12.34,1
105.0,2,17.0,,17.75,17.75,26.91,1
105.0,4,21.0,,",26.75",,19.1,0
106.0,0,0.0,1.5,",1.0",1.0,23.98,1
106.0,2,14.0,14.5,16.5,16.5,16.1,1
106.0,2,17.0,,-1,,0.0,0
106.0,5,21.0,21.0,",21.25",21.25,20.02,1
106.0,3,24.0,27.75,",24.5",24.5,12.35,1
107.0,0,0.0,0.0,",1.25",1.25,14.36,1
107.0,0,7.0,,",7.0",7.0,14.37,1
107.0,8,14.0,15.75,",16.25",16.25,14.87,1
107.0,1,17.0,17.5,",18.5",18.5,17.48,1
107.0,6,21.0,21.25,",22.75",22.75,24.39,1
107.0,5,24.0,24.5,",25.25",25.25,21.86,1
109.0,6,0.0,0.25,",1.0",1.0,15.02,1
109.0,6,14.0,14.25,",15.0",15.0,10.36,1
109.0,2,7.0,7.0,7.0,7.0,15.79,1
109.0,8,17.0,17.75,",17.0",17.0,11.61,1
109.0,4,24.0,24.0,",24.0,24.75",24.75,45.64,1
110.0,1,0.0,1.25,",2.25",2.25,12.23,1
110.0,1,21.0,23.5,",25.75",25.75,28.57,1
110.0,0,7.0,,",9.0",9.0,27.42,1
110.0,9,14.0,,",20.0",,29.14,0
110.0,9,17.0,19.5,",20.0",20.0,29.14,1
111.0,0,0.0,3.25,",1.5",,6.23,0
111.0,3,14.0,,",15.0,16.5",16.5,12.34,1
111.0,1,17.0,20.5,",20.75",,5.85,0
111.0,2,24.0,,-1,,0.0,0
112.0,8,0.0,0.0,",1.0",1.0,23.38,1
112.0,7,14.0,14.0,14.0,14.0,17.21,1
112.0,9,17.0,17.0,",22.0",22.0,19.11,1
112.0,1,24.0,24.0,",24.0",24.0,11.91,1
113.0,3,0.0,,",7.0",,3.4,0
113.0,3,21.0,,",24.25",24.25,9.2,1
113.0,6,7.0,7.0,",7.0,7.25",7.25,11.25,1
113.0,1,14.0,,",14.0,16.5",16.5,25.34,1
113.0,1,24.0,24.25,",24.25,24.5",24.5,20.759999999999998,1
113.0,9,17.0,,",17.25,19.75",19.75,17.37,1
114.0,1,0.0,1.0,",1.0",1.0,24.95,1
114.0,0,7.0,8.25,",9.25",9.25,20.8,1
114.0,6,14.0,14.5,",23.0",23.0,20.72,1
114.0,2,17.0,,-1,,0.0,0
114.0,8,21.0,22.75,",23.0",23.0,20.72,1
114.0,8,24.0,24.5,",24.75",24.75,22.04,1
116.0,5,0.0,0.5,",0.5,1.0",1.0,16.75,1
116.0,5,7.0,8.75,",9.5",9.5,9.18,1
116.0,0,14.0,,",15.75,17.5,19.5",,21.72,0
116.0,9,17.0,,",17.5,19.5",19.5,15.86,1
116.0,6,21.0,21.5,",22.0,22.75",22.75,14.36,1
116.0,1,24.0,24.75,",24.25",24.25,21.31,1
117.0,9,0.0,0.25,",0.75",0.75,33.63,1
117.0,5,7.0,7.0,",9.5",9.5,28.44,1
117.0,5,14.0,14.0,",19.25",19.25,20.26,1
117.0,8,17.0,17.25,",19.25",19.25,20.26,1
117.0,0,24.0,25.25,,,0.0,0
656.0,3,0.0,,,,0.0,0
656.0,1,14.0,14.75,,,0.0,0
656.0,0,17.0,,,,0.0,0
656.0,7,21.0,,-1,,0.0,0
656.0,5,24.0,,,,0.0,0
120.0,7,0.0,0.0,-1,,0.0,0
120.0,7,7.0,7.5,7.5,7.5,12.3,1
120.0,3,14.0,,",17.0,17.75,19.5",19.5,20.73,1
120.0,5,17.0,17.75,",17.0,17.75,19.5",19.5,20.73,1
120.0,5,24.0,24.5,",28.75",,3.59,0
123.0,8,0.0,0.25,",2.75",2.75,10.81,1
123.0,6,14.0,14.25,",15.5,15.75",15.75,11.83,1
123.0,0,17.0,17.0,,,0.0,0
123.0,3,21.0,21.25,",26.0",26.0,7.45,1
123.0,1,24.0,24.75,",26.0",,7.45,0
124.0,2,0.0,0.5,0.25,0.25,7.32,1
124.0,8,14.0,14.0,",16.0",,3.73,0
124.0,8,17.0,17.0,",20.25,21.5",,1.74,0
124.0,4,24.0,,",27.25,27.75",,3.63,0
125.0,1,0.0,0.25,,,0.0,0
125.0,7,7.0,7.5,8.25,8.25,19.9,1
125.0,0,14.0,15.0,",15.0",15.0,13.01,1
125.0,9,17.0,18.0,",19.75,20.0",20.0,17.439999999999998,1
126.0,7,0.0,1.0,0.5,0.5,3.75,1
126.0,8,14.0,15.5,",17.25",,3.37,0
126.0,8,21.0,21.25,,,0.0,0
126.0,0,17.0,17.25,",17.25",,3.37,0
126.0,5,24.0,24.25,,,0.0,0
127.0,5,0.0,0.75,,,0.0,0
127.0,9,7.0,,",10.0",,1.02,0
127.0,0,14.0,14.25,",14.25",,9.02,0
127.0,3,21.0,,",27.25,27.75",,3.76,0
127.0,7,24.0,24.5,-1,,0.0,0
129.0,5,0.0,0.75,",4.5,5.25",,5.359999999999999,0
129.0,5,21.0,22.5,",25.0,25.25",25.25,13.219999999999999,1
129.0,0,7.0,7.25,",9.25",,4.5600000000000005,0
129.0,6,14.0,17.75,",15.5,16.0,17.75,20.0,20.25",,5.11,0
129.0,7,24.0,27.5,25.0,25.0,3.05,1
739.0,7,0.0,0.25,-1,,0.0,0
739.0,7,21.0,21.25,21.0,21.0,6.66,1
739.0,6,7.0,11.25,",13.75",13.75,19.71,1
739.0,2,14.0,15.5,-1,,0.0,0
739.0,1,17.0,18.25,",21.0",,6.66,0
739.0,1,24.0,26.0,",24.25",24.25,462.4,1
132.0,5,0.0,3.25,",3.0",3.0,12.66,1
132.0,1,7.0,7.0,,,0.0,0
132.0,4,14.0,16.5,,,0.0,0
132.0,2,21.0,22.0,-1,,0.0,0
132.0,3,24.0,24.25,",26.0",26.0,12.27,1
133.0,0,0.0,0.0,",0.5",0.5,16.6,1
133.0,0,7.0,7.25,",7.25",7.25,49.09,1
133.0,8,14.0,15.25,",16.0",16.0,22.02,1
133.0,2,24.0,,24.25,24.25,15.97,1
135.0,2,0.0,0.25,0.25,0.25,24.25,1
135.0,2,7.0,,8.75,8.75,6.4,1
135.0,2,17.0,,18.25,18.25,8.28,1
135.0,0,21.0,21.75,",22.0",22.0,12.79,1
135.0,0,24.0,24.75,",24.5",24.5,13.78,1
776.0,2,0.0,2.0,2.0,2.0,2.98,1
776.0,2,14.0,,-1,,0.0,0
776.0,1,7.0,7.25,",7.25",7.25,15.46,1
776.0,1,21.0,21.0,",21.25,21.75,22.5,23.5,24.5,24.75,25.5",,31.049999999999997,0
776.0,9,24.0,,",24.5,24.75,25.5",25.5,12.360000000000001,1
139.0,4,0.0,,",5.5",5.5,25.73,1
139.0,1,7.0,11.25,,,0.0,0
139.0,7,21.0,,-1,,0.0,0
139.0,7,24.0,25.75,-1,,0.0,0
141.0,4,0.0,1.0,,,0.0,0
141.0,8,7.0,7.0,,,0.0,0
141.0,8,17.0,17.0,",21.25",21.25,34.11,1
141.0,3,24.0,26.0,",27.75",27.75,19.1,1
145.0,9,0.0,6.25,,,0.0,0
145.0,9,7.0,,",7.75",7.75,33.77,1
145.0,7,14.0,14.25,14.75,14.75,27.59,1
145.0,5,17.0,17.75,",17.5",17.5,15.78,1
145.0,8,21.0,22.0,",23.75",23.75,29.44,1
145.0,6,24.0,25.25,",26.25",26.25,39.71,1
146.0,0,0.0,0.75,",0.75",0.75,20.89,1
146.0,9,7.0,8.0,",11.5",11.5,15.56,1
146.0,2,17.0,19.75,-1,,0.0,0
147.0,8,0.0,1.5,,,0.0,0
147.0,3,7.0,,,,0.0,0
147.0,4,21.0,,",22.75",,0.87,0
147.0,5,24.0,26.0,,,0.0,0
4220.0,8,0.0,0.0,,,0.0,0
4220.0,4,14.0,15.0,",15.75,18.25",18.25,24.89,1
4220.0,4,21.0,,",24.25",24.25,20.52,1
4220.0,2,17.0,17.75,18.25,18.25,14.17,1
4220.0,1,24.0,24.75,",24.25",24.25,20.52,1
151.0,6,0.0,0.25,",0.0",0.0,18.97,1
151.0,2,7.0,8.25,8.25,8.25,28.71,1
151.0,2,21.0,21.0,-1,,0.0,0
151.0,2,24.0,26.0,26.0,26.0,14.77,1
151.0,7,17.0,17.5,18.25,18.25,380.24,1
153.0,7,0.0,0.0,0.75,0.75,8.39,1
153.0,5,7.0,7.25,,,0.0,0
153.0,4,17.0,18.5,",20.75",,8.8,0
153.0,6,21.0,21.25,,,0.0,0
153.0,0,24.0,24.5,,,0.0,0
154.0,1,0.0,0.25,",3.25",3.25,13.3,1
154.0,2,14.0,15.25,-1,,0.0,0
154.0,7,21.0,21.25,-1,,0.0,0
155.0,3,0.0,,",0.75",,2.31,0
155.0,9,7.0,,",9.25",,0.59,0
155.0,4,14.0,,",17.5,18.75",,4.2299999999999995,0
155.0,1,17.0,17.25,",17.5,18.75",,4.2299999999999995,0
155.0,6,21.0,22.0,",25.0",,1.01,0
155.0,8,24.0,25.0,",25.0",,1.01,0
156.0,3,0.0,1.0,",4.5,6.0",,9.58,0
156.0,4,7.0,,",15.0,16.75",,6.68,0
156.0,5,14.0,15.75,",15.0,16.75,20.25",20.25,10.02,1
156.0,5,21.0,22.0,",22.0,24.0,24.5",24.5,9.22,1
156.0,9,24.0,,",24.0,24.5,26.0,26.25",,4.88,0
158.0,2,0.0,1.25,-1,,0.0,0
158.0,5,7.0,7.5,",8.75",8.75,9.45,1
158.0,9,14.0,14.5,",17.25",,9.88,0
158.0,1,21.0,21.0,,,0.0,0
158.0,7,24.0,25.25,-1,,0.0,0
159.0,4,0.0,,,,0.0,0
159.0,4,7.0,,",14.0,16.5",,3.97,0
159.0,4,17.0,,",24.75",,1.43,0
159.0,7,14.0,14.0,14.0,14.0,1.23,1
159.0,5,21.0,23.75,",24.75",,1.43,0
160.0,0,0.0,0.0,",1.0",1.0,17.21,1
160.0,0,14.0,14.25,",18.5",18.5,10.34,1
160.0,3,24.0,,",25.25",25.25,34.44,1
161.0,1,0.0,0.5,,,0.0,0
161.0,0,7.0,8.5,",9.75",9.75,14.47,1
161.0,9,14.0,,",17.75",17.75,22.87,1
161.0,6,17.0,17.0,",17.75",17.75,22.87,1
161.0,6,24.0,24.75,",27.0",27.0,19.71,1
161.0,5,21.0,21.0,",23.5",23.5,17.59,1
162.0,2,0.0,,-1,,0.0,0
162.0,6,7.0,10.25,,,0.0,0
162.0,3,17.0,,",23.5",23.5,20.76,1
162.0,1,21.0,21.5,",23.5",23.5,20.76,1
162.0,8,24.0,24.0,,,0.0,0
163.0,3,0.0,0.0,",1.5",1.5,13.88,1
163.0,4,7.0,7.25,",16.25",,12.02,0
163.0,7,14.0,15.0,16.25,16.25,12.02,1
163.0,9,17.0,17.5,,,0.0,0
164.0,1,0.0,0.5,",2.0,3.5",,9.91,0
164.0,6,14.0,14.25,",15.25,21.25,23.25",,8.05,0
164.0,7,17.0,17.0,-1,,0.0,0
164.0,8,21.0,22.75,",21.25,23.25",,2.58,0
164.0,0,24.0,24.0,,,0.0,0
653.0,5,0.0,0.0,",0.25,0.5,1.5",1.5,8.33,1
653.0,5,7.0,7.0,",7.5,8.5,8.75",8.75,10.77,1
653.0,0,14.0,15.75,",16.75,17.0,18.5,19.25,19.5,20.25,20.75",,26.18,0
653.0,2,17.0,,17.0,17.0,1.4,1
653.0,3,21.0,,",22.0",22.0,15.17,1
653.0,7,24.0,,24.0,24.0,3.14,1
166.0,0,0.0,0.5,",1.25,1.75,2.5,3.5,3.75,4.25,4.75,5.75,6.75",,39.14,0
166.0,8,7.0,8.5,",9.25,10.25,11.75",11.75,11.99,1
